titre,entreprise,contrat,lieu,salaire_brut_texte,experience,statut,metier,secteur,etudes,teletravail,url_source,salaire_min,salaire_max
Développeur Informatique en alternance F/H,CARREVOLUTIS,CDD et Alternance - Contrat d'apprentissage   de 12 mois,Cherbourg-en-Cotentin - 50,A négocier,Tous niveaux d'expérience acceptés,Cadre du secteur privé,Développeur,PROGRAMMATION INFORMATIQUE,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177869065W?motsCles=Informatique&page=5&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=19,,
Chef de Projet Informatique Logistique F/H,Techteam,CDI,Lorient - 56,A partir de 45 k€ brut annuel,Minimum 3 ans,Cadre du secteur privé,Responsable logistique,"INGÉNIERIE, ÉTUDES TECHNIQUES",,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177819094W?motsCles=Informatique&page=6&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=0,45.0,45.0
Enseignant chercheur en bio-informatique F/H,Efrei  Paris,CDI,Villejuif - 94,45 - 55 k€ brut annuel,Minimum 3 ans,Cadre du secteur privé,Formateur,ENSEIGNEMENT SUPÉRIEUR,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177787027W?motsCles=Informatique&page=6&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=1,45.0,55.0
Chef de Projet Informatique F/H,Apave,CDI,Mont-Saint-Aignan - 76,A négocier,Minimum 2 ans,Cadre du secteur privé,Développeur,"ANALYSES, ESSAIS ET INSPECTIONS TECHNIQUES",,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177835204W?motsCles=Informatique&page=6&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=2,,
développeur informatique industrielle - électronique F/H,Oz2B,CDI,Duttlenheim - 67,50 - 60 k€ brut annuel,Minimum 3 ans,Cadre du secteur privé,Ingénieur informatique industrielle,FABRICATION D'ÉQUIPEMENTS HYDRAULIQUES ET PNEUMATIQUES,,Partiel possible,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177796712W?motsCles=Informatique&page=6&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=3,50.0,60.0
Responsable informatique Adjoint F/H,CARREVOLUTIS,CDI,Châteauneuf-les-Martigues - 13,A négocier,Minimum 2 ans,Cadre du secteur privé,Responsable informatique,PROGRAMMATION INFORMATIQUE,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177796133W?motsCles=Informatique&page=6&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=4,,
Chef de projet informatique F/H,EURO-INFORMATION DEVELOPPEMENTS,CDI,Verlinghem - 59,A négocier,Aucune expérience exigée,Cadre du secteur privé,Chef de projet informatique,TIERCE MAINTENANCE DE SYSTÈMES ET D'APPLICATIONS INFORMATIQUES,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177833624W?motsCles=Informatique&page=6&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=5,,
Ingénieur en sécurité informatique confirmé F/H,ATAVA,CDI,Strasbourg - 67,50 - 60 k€ brut annuel,Minimum 3 ans,Cadre du secteur privé,Ingénieur sécurité informatique,CONSEIL POUR LES AFFAIRES ET AUTRES CONSEILS DE GESTION,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177817567W?motsCles=Informatique&page=6&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=6,50.0,60.0
Spécialiste informatique Configit X/ F/H,ABYLSEN,CDI,Saint-Laurent-sur-Sèvre - 85,38 - 47 k€ brut annuel,Minimum 5 ans,Cadre du secteur privé,,TRAVAUX D'INSTALLATION ÉLECTRIQUE DANS TOUS LOCAUX,,Partiel possible,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177762457W?motsCles=Informatique&page=6&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=7,38.0,47.0
Responsable informatique – Retail alimentaire F/H,SILKHOM,CDI,Agen - 47,50 - 60 k€ brut annuel,Minimum 5 ans,Cadre du secteur privé,Responsable informatique,CONSEIL POUR LES AFFAIRES ET AUTRES CONSEILS DE GESTION,,Non autorisé,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177625543W?motsCles=Informatique&page=6&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=8,50.0,60.0
Ingénieur supervision - Informatique industrielle F/H,Automatique et Industrie,CDI,Aix-en-Provence - 13,A partir de 35 k€ brut annuel,Minimum 3 ans,Cadre du secteur privé,Ingénieur informatique industrielle,CONSEIL EN SYSTÈMES ET LOGICIELS INFORMATIQUES,,Ponctuel autorisé,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177788104W?motsCles=Informatique&page=6&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=9,35.0,35.0
Ingénieur supervision - Informatique industrielle F/H,Automatique et Industrie,CDI,Tours - 37,A partir de 35 k€ brut annuel,Minimum 3 ans,Cadre du secteur privé,Ingénieur informatique industrielle,CONSEIL EN SYSTÈMES ET LOGICIELS INFORMATIQUES,,Ponctuel autorisé,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177788103W?motsCles=Informatique&page=6&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=10,35.0,35.0
Ingénieur de Recherche en Informatique F/H,LIG,CDD   de 12 mois,Saint-Martin-d'Hères - 38,A partir de 36 k€ brut annuel,Tous niveaux d'expérience acceptés,Cadre du secteur public / Armées,Ingénieur en études et développement informatiques,ENSEIGNEMENT SUPÉRIEUR,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177818297W?motsCles=Informatique&page=6&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=11,36.0,36.0
Ingénieur supervision - Informatique industrielle F/H,Automatique et Industrie,CDI,Bron - 69,38 - 49 k€ brut annuel,Minimum 5 ans,Cadre du secteur privé,Ingénieur informatique industrielle,CONSEIL EN SYSTÈMES ET LOGICIELS INFORMATIQUES,,Ponctuel autorisé,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177788105W?motsCles=Informatique&page=6&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=12,38.0,49.0
Chef de projet informatique (ERP) F/H,Talenteer,CDI,Saint-Gilles-Croix-de-Vie - 85,55 - 55 k€ brut annuel,Minimum 5 ans,Cadre du secteur privé,Chef de projet informatique,CONSEIL POUR LES AFFAIRES ET AUTRES CONSEILS DE GESTION,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177860448W?motsCles=Informatique&page=6&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=13,55.0,55.0
Responsable informatique Adjoint F/H,CARREVOLUTIS,CDI,Châteauneuf-les-Martigues - 13,A négocier,Tous niveaux d'expérience acceptés,Cadre du secteur privé,Responsable informatique,PROGRAMMATION INFORMATIQUE,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177796254W?motsCles=Informatique&page=6&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=14,,
Manager Département développement informatique F/H,SOLUTIONS AND PERFORMANCES EXECUTIVE SEARCH,CDI,Saint-Étienne - 42,60 - 70 k€ brut annuel,Minimum 8 ans,Cadre du secteur privé,Architecte développement,ACTIVITÉS DES SIÈGES SOCIAUX,,Non autorisé,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177771242W?motsCles=Informatique&page=6&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=15,60.0,70.0
Chef de Projet Informatique F/H,Non spécifié (Confidentiel),CDI,Dijon - 21,35 - 45 k€ brut annuel,Tous niveaux d'expérience acceptés,Cadre du secteur privé,Chef de projet informatique,ACTIVITÉS DES AGENCES DE PLACEMENT DE MAIN-D'OEUVRE,,Partiel possible,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177774149W?motsCles=Informatique&page=6&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=16,35.0,45.0
Ingénieur informatique et méthode industrielle F/H,EXCENT FRANCE,CDI,Figeac - 46,A partir de 32 k€ brut annuel,Minimum 5 ans,Cadre du secteur privé,Ingénieur informatique industrielle,"INGÉNIERIE, ÉTUDES TECHNIQUES",,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177816600W?motsCles=Informatique&page=6&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=17,32.0,32.0
Consultant(e) Informatique F/H,Maincare,CDI,Poitiers - 86,A négocier,Minimum 2 ans,Cadre du secteur privé,Médecin généraliste,CONSEIL EN SYSTÈMES ET LOGICIELS INFORMATIQUES,,Partiel possible,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177875892W?motsCles=Informatique&page=6&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=18,,
Consultant(e) Informatique F/H,Maincare,CDI,Bordeaux - 33,A négocier,Minimum 2 ans,Cadre du secteur privé,Médecin généraliste,CONSEIL EN SYSTÈMES ET LOGICIELS INFORMATIQUES,,Partiel possible,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177875889W?motsCles=Informatique&page=6&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=19,,
Ingénieur Informatique Full Stack F/H,Les Colettes Sourcing,CDI,Nantes - 44,40 - 50 k€ brut annuel,Minimum 3 ans,Cadre du secteur privé,Ingénieur en études et développement informatiques,CONSEIL POUR LES AFFAIRES ET AUTRES CONSEILS DE GESTION,,Partiel possible,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177672802W?motsCles=Informatique&page=7&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=0,40.0,50.0
Responsable de l'Atelier Informatique Industrielle F/H,RATP,CDI,Saint-Denis - 93,A partir de 50 k€ brut annuel,Minimum 5 ans,Cadre du secteur privé,Chef de projet informatique industrielle,TRANSPORTS URBAINS ET SUBURBAINS DE VOYAGEURS,,Non autorisé,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177760401W?motsCles=Informatique&page=7&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=1,50.0,50.0
Chef de Projet Informatique Expérimenté F/H,MATMUT,CDI,Rouen - 76,63 - 64 k€ brut annuel,Minimum 10 ans,Cadre du secteur privé,Chef de projet informatique,AUTRES ASSURANCES,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177779402W?motsCles=Informatique&page=7&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=2,63.0,64.0
Responsable Bio-Informatique F/H,Non spécifié (Confidentiel),CDI,Paris 01 - 75,A partir de 60 k€ brut annuel,Tous niveaux d'expérience acceptés,Cadre du secteur privé,Bioinformaticien,"ADMINISTRATION PUBLIQUE (TUTELLE) DE LA SANTÉ, DE LA FORMATION, DE LA CULTURE ET DES SERVICES SOCIAUX, AUTRE QUE SÉCURITÉ SOCIALE",,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177832942W?motsCles=Informatique&page=7&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=3,60.0,60.0
Chef de projet informatique F/H,VINCI ENERGIES FRANCE COMMUNICATION AND SYSTEMS,CDI,Nantes - 44,A négocier,Aucune expérience exigée,Cadre du secteur privé,Chef de projet informatique,AUTRES ACTIVITÉS INFORMATIQUES,,Partiel possible,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177787044W?motsCles=Informatique&page=7&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=4,,
Chef de Projet Informatique F/H,CAT-AMANIA,CDI,Poitiers - 86,A négocier,Minimum 3 ans,Cadre du secteur privé,Chef de projet informatique,CONSEIL EN SYSTÈMES ET LOGICIELS INFORMATIQUES,,Partiel possible,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177581186W?motsCles=Informatique&page=7&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=5,,
Chef de Projet Informatique F/H,CAT-AMANIA,CDI,Niort - 79,A négocier,Minimum 3 ans,Cadre du secteur privé,Chef de projet informatique,CONSEIL EN SYSTÈMES ET LOGICIELS INFORMATIQUES,,Partiel possible,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177581185W?motsCles=Informatique&page=7&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=6,,
Chef de projet informatique F/H,VINCI ENERGIES FRANCE COMMUNICATION AND SYSTEMS,CDI,Nantes - 44,A négocier,Minimum 1 an,Cadre du secteur privé,Chef de projet informatique,CONSEIL POUR LES AFFAIRES ET AUTRES CONSEILS DE GESTION,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177786793W?motsCles=Informatique&page=7&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=7,,
Chef de projet informatique F/H,VINCI ENERGIES FRANCE COMMUNICATION AND SYSTEMS,CDI,Nantes - 44,A négocier,Minimum 5 ans,Cadre du secteur privé,Chef de projet informatique,AUTRES ACTIVITÉS INFORMATIQUES,,Partiel possible,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177786881W?motsCles=Informatique&page=7&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=8,,
Développeur(se) Informatique Web / Digital F/H,ASSE GROUPE,CDI,L'Étrat - 42,32 - 48 k€ brut annuel,Minimum 2 ans,Cadre du secteur privé,Développeur,ACTIVITÉS DES SOCIÉTÉS HOLDING,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177829318W?motsCles=Informatique&page=7&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=9,32.0,48.0
Responsable équipe architecture informatique F/H,Externatic,CDI,Nantes - 44,A partir de 70 k€ brut annuel,Minimum 5 ans,Cadre du secteur privé,Architecte (BTP),CONSEIL POUR LES AFFAIRES ET AUTRES CONSEILS DE GESTION,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177788508W?motsCles=Informatique&page=7&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=10,70.0,70.0
Formateur Technicien d'assistance en informatique F/H,AFPA,CDD   de 6 mois,Fontenay-le-Comte - 85,30 - 31 k€ brut annuel,Minimum 2 ans,Cadre du secteur privé,Formateur,FORMATION CONTINUE D'ADULTES,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177800514W?motsCles=Informatique&page=7&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=11,30.0,31.0
Directeur de programmes informatiques - Tous secteurs F/H,8   CDI,Poste à pourvoir en CDI  via le cabinet de recrutement GEC chez une grande entreprise,Paris 02 - 75,80 - 90 k€ brut annuel,Minimum 10 ans,Cadre du secteur privé,Directeur des systèmes d'information,CONSEIL POUR LES AFFAIRES ET AUTRES CONSEILS DE GESTION,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177834671W?motsCles=Informatique&page=7&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=12,80.0,90.0
Administrateur réseaux informatique F/H,Non spécifié (Confidentiel),CDI,Saint-Nazaire - 44,A partir de 35 k€ brut annuel,Minimum 3 ans,Cadre du secteur privé,Administrateur réseaux,CONSEIL POUR LES AFFAIRES ET AUTRES CONSEILS DE GESTION,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177789918W?motsCles=Informatique&page=7&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=13,35.0,35.0
Ingénieur de Production Informatique F/H,OPEN,CDI,Toulouse - 31,A négocier,Minimum 4 ans,Cadre du secteur privé,Ingénieur de production informatique,CONSEIL EN SYSTÈMES ET LOGICIELS INFORMATIQUES,,Partiel possible,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177804276W?motsCles=Informatique&page=7&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=14,,
Développeur Concepteur Informatique F/H,Non spécifié (Confidentiel),CDI,Malville - 44,34 - 40 k€ brut annuel,Tous niveaux d'expérience acceptés,Cadre du secteur privé,Développeur,ACTIVITÉS DES AGENCES DE PLACEMENT DE MAIN-D'OEUVRE,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177806605W?motsCles=Informatique&page=7&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=15,34.0,40.0
Développeur Concepteur Informatique F/H,Non spécifié (Confidentiel),CDI,Malville - 44,A partir de 34 k€ brut annuel,Tous niveaux d'expérience acceptés,Cadre du secteur privé,Développeur,FABRICATION D'AUTRES MACHINES D'USAGE GÉNÉRAL,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177795611W?motsCles=Informatique&page=7&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=16,34.0,34.0
Chef du Service Informatique F/H,Non spécifié (Confidentiel),CDI,Plérin - 22,23 - 42 k€ brut annuel,Tous niveaux d'expérience acceptés,Cadre du secteur privé,Responsable informatique,ADMINISTRATION PUBLIQUE GÉNÉRALE,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177774995W?motsCles=Informatique&page=7&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=17,23.0,42.0
Ingénieur de Développement Informatique F/H,Non spécifié (Confidentiel),CDI,Orléans - 45,38 - 42 k€ brut annuel,Tous niveaux d'expérience acceptés,Cadre du secteur privé,Ingénieur en études et développement informatiques,CONSEIL POUR LES AFFAIRES ET AUTRES CONSEILS DE GESTION,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177752422W?motsCles=Informatique&page=7&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=18,38.0,42.0
Expert en Validation des Systèmes Informatiques (VSI) F/H,HARRY HOPE,CDI,Besançon - 25,45 - 55 k€ brut annuel,Minimum 2 ans,Cadre du secteur privé,Ingénieur système,"FABRICATION D'ÉQUIPEMENTS D'IRRADIATION MÉDICALE, D'ÉQUIPEMENTS ÉLECTROMÉDICAUX ET ÉLECTROTHÉRAPEUTIQUES",,Non autorisé,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177796838W?motsCles=Informatique&page=7&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=19,45.0,55.0
Chef de projet informatique F/H,Non spécifié (Confidentiel),CDI,Oullins-Pierre-Bénite - 69,42 - 49 k€ brut annuel,Tous niveaux d'expérience acceptés,Cadre du secteur privé,Chef de projet informatique,ACTIVITÉS DES AGENCES DE PLACEMENT DE MAIN-D'OEUVRE,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177855178W?motsCles=Informatique&page=8&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=0,42.0,49.0
RESPONSABLE INFORMATIQUE ADJOINT - F/H,Non spécifié (Confidentiel),CDI,Olivet - 45,A négocier,Minimum 3 ans,Cadre du secteur privé,Responsable informatique,CONSEIL POUR LES AFFAIRES ET AUTRES CONSEILS DE GESTION,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177859005W?motsCles=Informatique&page=8&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=1,,
Développeur Informatique PHP F/H,Non spécifié (Confidentiel),CDI,Meylan - 38,35 - 37 k€ brut annuel,Tous niveaux d'expérience acceptés,Cadre du secteur privé,Développeur,ACTIVITÉS DES AGENCES DE TRAVAIL TEMPORAIRE,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177783036W?motsCles=Informatique&page=8&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=2,35.0,37.0
DÉVELOPPEUR INFORMATIQUE PHP F/H,Non spécifié (Confidentiel),CDI,Meylan - 38,A partir de 35 k€ brut annuel,Minimum 1 an,Cadre du secteur privé,Développeur,CONSEIL POUR LES AFFAIRES ET AUTRES CONSEILS DE GESTION,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177772759W?motsCles=Informatique&page=8&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=3,35.0,35.0
Responsable Automatisme & Informatique Industrielle F/H,Native RH,CDI,Blois - 41,A partir de 65 k€ brut annuel,Minimum 10 ans,Cadre du secteur privé,Chef de projet informatique industrielle,CONSEIL POUR LES AFFAIRES ET AUTRES CONSEILS DE GESTION,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177827650W?motsCles=Informatique&page=8&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=4,65.0,65.0
Ingénieur en Informatique Industrielle F/H,Non spécifié (Confidentiel),CDI,Villeneuve-d'Ascq - 59,35 - 40 k€ brut annuel,Tous niveaux d'expérience acceptés,Cadre du secteur privé,Ingénieur informatique industrielle,CONCEPTION D'ENSEMBLE ET ASSEMBLAGE SUR SITE INDUSTRIEL D'ÉQUIPEMENTS DE CONTRÔLE DES PROCESSUS INDUSTRIELS,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177867267W?motsCles=Informatique&page=8&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=5,35.0,40.0
Chef de Projet Informatique F/H,Non spécifié (Confidentiel),CDI,Oullins-Pierre-Bénite - 69,42 - 49 k€ brut annuel,Tous niveaux d'expérience acceptés,Cadre du secteur privé,Chef de projet informatique,ACTIVITÉS DES SIÈGES SOCIAUX,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177864410W?motsCles=Informatique&page=8&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=6,42.0,49.0
Team Leader Informatique F/H,Non spécifié (Confidentiel),CDI,Cesson-Sévigné - 35,30 - 35 k€ brut annuel,Tous niveaux d'expérience acceptés,Cadre du secteur privé,Chef de projet informatique,GESTION D'INSTALLATIONS INFORMATIQUES,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177813686W?motsCles=Informatique&page=8&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=7,30.0,35.0
Développeur Informatique PHP F/H,Non spécifié (Confidentiel),CDI,Meylan - 38,35 - 45 k€ brut annuel,Tous niveaux d'expérience acceptés,Cadre du secteur privé,Développeur,ACTIVITÉS DES AGENCES DE TRAVAIL TEMPORAIRE,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177783028W?motsCles=Informatique&page=8&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=8,35.0,45.0
DÉVELOPPEUR INFORMATIQUE PHP F/H,Non spécifié (Confidentiel),CDI,Meylan - 38,A partir de 35 k€ brut annuel,Minimum 3 ans,Cadre du secteur privé,Développeur,CONSEIL POUR LES AFFAIRES ET AUTRES CONSEILS DE GESTION,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177773027W?motsCles=Informatique&page=8&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=9,35.0,35.0
Responsable Assistance Informatique F/H,Non spécifié (Confidentiel),CDI,Montpellier - 34,45 - 50 k€ brut annuel,Tous niveaux d'expérience acceptés,Cadre du secteur privé,Responsable informatique,ACTIVITÉS DES AGENCES DE TRAVAIL TEMPORAIRE,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177863376W?motsCles=Informatique&page=8&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=10,45.0,50.0
Responsable Informatique Adjoint F/H,Non spécifié (Confidentiel),CDI,Olivet - 45,A négocier,Tous niveaux d'expérience acceptés,Cadre du secteur privé,Responsable informatique,VENTE À DISTANCE SUR CATALOGUE GÉNÉRAL,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177866015W?motsCles=Informatique&page=8&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=11,,
Développeur Informatique C# Traitement de l'Image F/H,HARRY HOPE,CDI,Toulouse - 31,40 - 50 k€ brut annuel,Minimum 1 an,Cadre du secteur privé,Développeur,FABRICATION DE MACHINES AGRICOLES ET FORESTIÈRES,,Non autorisé,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177871521W?motsCles=Informatique&page=8&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=12,40.0,50.0
Automaticien - Informatique Industrielle F/H,Non spécifié (Confidentiel),CDI,Aix-en-Provence - 13,37 - 39 k€ brut annuel,Tous niveaux d'expérience acceptés,Cadre du secteur privé,Ingénieur informatique industrielle,CONSEIL EN SYSTÈMES ET LOGICIELS INFORMATIQUES,,Partiel possible,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177794305W?motsCles=Informatique&page=8&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=13,37.0,39.0
Chef de Projet Informatique F/H,Non spécifié (Confidentiel),CDI,Selles-sur-Cher - 41,35 - 40 k€ brut annuel,Tous niveaux d'expérience acceptés,Cadre du secteur privé,Chef de projet informatique,ACTIVITÉS DES SOCIÉTÉS HOLDING,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177820849W?motsCles=Informatique&page=8&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=14,35.0,40.0
